Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
133,0.912842,0.194702,0.210083,-0.394697,-0.248733,-0.10799,0,0,0
134,0.920166,0.204102,0.22876,-0.370726,-0.202214,-0.101819,0,0,0
135,0.905029,0.202026,0.213745,-0.351264,-0.164952,-0.087104,0,0,0
136,0.899902,0.196899,0.214111,-0.346754,-0.086155,-0.070015,0,0,0
137,0.905029,0.190674,0.222534,-0.336549,-0.000712,-0.02943,0,0,0
138,0.921021,0.195557,0.228394,-0.290742,0.006646,0.002611,0,0,0
139,0.939941,0.204712,0.22644,-0.225473,-0.039398,-0.000949,0,0,0
140,0.942993,0.21582,0.211304,-0.162815,-0.078322,-0.014715,0,0,0
141,0.944702,0.224731,0.198364,-0.123417,-0.073338,-0.014952,0,0,0
142,0.939209,0.2323,0.171875,-0.093037,-0.069778,-0.009019,0,0,0
143,0.949707,0.236084,0.165527,-0.060284,-0.113686,-0.008782,0,0,0
144,0.977417,0.239136,0.142822,-0.043671,-0.168037,-0.008307,0,0,0
145,1.006714,0.246704,0.122559,-0.056487,-0.12579,0.011867,0,0,0
146,1.033936,0.251709,0.116333,-0.071677,-0.059098,0.029668,0,0,0
147,1.041382,0.249512,0.111206,-0.069066,-0.027294,0.016376,0,0,0
148,1.041382,0.245361,0.1073,-0.052452,-0.042009,-0.020649,0,0,0
149,1.038818,0.243042,0.100952,-0.034177,-0.075474,-0.052215,0,0,0
150,1.030396,0.243774,0.087524,-0.013291,-0.116771,-0.079509,0,0,0
